Offense Case Type,Offense Date,Offense Time,Charges Description,Offense Street Name,Offense Cross Street,Case Closed,Agency,Officer Code,RACE,Defendant Gender
NT,2022-02-07,22:45:00,Possession Of Drug Paraphernalia,East 6th Street And Ih35,,TERM,APD Do Not Use,8674,Other,Female
NT,2022-05-16,4:27:00,Disorderly Conduct - Fighting,600 Block East 7th Street,,ACT,APD Do Not Use,8428,Black or African American,Female
NT,2022-03-05,2:32:00,Disorderly Conduct - Fighting,600 Block Trinity Street,,TERM,APD Do Not Use,7804,Black or African American,Female
NT,2022-05-08,2:36:00,Interference With A Police Service Animal,400 Block East 6th Street,,TERM,APD Do Not Use,8888,White,Female
NT,2022-05-16,4:27:00,Disorderly Conduct - Fighting,600 Block East 7th Street,,TERM,APD Do Not Use,8428,Hispanic or Latino,Female
NT,2021-11-25,7:34:00,Public Intoxication,901 East 5th Street,,IN,APD Do Not Use,8342,Black or African American,Male
NT,2021-11-05,9:30:00,Littering,East 6th Street And Brazos Street,,IN,APD Do Not Use,7408,White,Male
NT,2021-10-02,23:59:00,Public Intoxication,West 5th Street  And Lavaca Street,,IN,APD Do Not Use,8380,Black or African American,Male
NT,2021-12-05,9:00:00,Pedestrian In Roadway/City Ordinance,100 East 6th Street,,IN,APD Do Not Use,3968,Black or African American,Male
NT,2022-01-11,23:06:00,Public Intoxication,1213 Sabine Street,,IN,APD Do Not Use,9121,White,Male
NT,2021-11-23,23:05:00,Public Intoxication,North Ih 35 Service Road At East 6th,,TERM,APD Do Not Use,7242,White,Male
NT,2021-10-04,11:30:00,Camping - State Law,600 North Ih35 Service Road,,ACT,APD Do Not Use,7080,White,Male
TR,2021-12-19,2:30:00,Pedestrian On Roadway,East 6th And San Jacinto Boulevard,,IN,APD Do Not Use,8380,White,Male
TR,2022-01-07,0:00:00,Pedestrian Crossing Midblock,15th Street At Trinity Street,,TERM,APD Do Not Use,9264,White,Male
NT,2022-04-05,22:51:00,Disorderly Conduct - Fighting,400 Block 6th Street,,ACT,APD Do Not Use,7769,White,Male
NT,2022-04-18,0:00:00,Disorderly Conduct - Abusive Language,70 Rainey Street,,IN,APD Do Not Use,7769,White,Male
NT,2022-04-24,1:09:00,Disregard Order Of A Police Officer,400 Block East 6th Street,,TERM,APD Do Not Use,8205,Hispanic or Latino,Male
NT,2022-08-12,22:28:00,Minor Consuming Alcohol,West 24th Street At Rio Grande Street,,TERM,APD Do Not Use,9391,Black or African American,Male
NT,2021-12-31,23:50:00,Public Intoxication,406 East 6th Street,,IN,APD Do Not Use,8674,Black or African American,Male
NT,2022-04-03,0:27:00,Simple Assault By Contact,403 East 6th Street,,TERM,APD Do Not Use,8413,White,Female
NT,2022-02-02,8:04:00,Camping - State Law,800 North Pleasant Valley Road,,IN,APD Do Not Use,7080,,
NT,2022-05-21,23:07:00,Public Intoxication,Rio Grande Street And West 11th Street,,TERM,APD Do Not Use,7884,White,Male
NT,2022-03-26,3:15:00,Disorderly Conduct - Fighting,400 Block East 7th Street,,TERM,APD Do Not Use,8205,Black or African American,Male
NT,2022-03-06,0:00:00,Disorderly Conduct-Indecent Exposure #,East 10th At San Jacinto Boulevard,,IN,APD Do Not Use,7986,White,Male
NT,2022-03-11,10:25:00,"Sitting, Lying Down, Sleeping Outdoors",100 West 2nd Street,,TERM,APD Do Not Use,7408,White,Male
NT,2022-06-30,2:08:00,Disorderly Conduct - Fighting,408 East 6th Street,,ACT,APD Do Not Use,7796,White,Female
