Offense Case Type,Offense Date,Offense Time,Charges Description,Offense Street Name,Offense Cross Street,Case Closed,Agency,Officer Code,RACE,Defendant Gender
TR,2018-10-01,9:40:00,Pedestrian Crossing Midblock,500 Block East 7th Street,,ACT,APD Do Not Use,7870,Black or African American,Male
TR,2018-10-01,9:41:00,Pedestrian Crossing Midblock,500 Block East 7th Street,,IN,APD Do Not Use,7430,White,Male
TR,2018-10-01,9:46:00,Pedestrian Walking Against Light,7th Street And Neches Street,,TERM,APD Do Not Use,7240,Hispanic or Latino,Male
NT,2018-10-01,10:10:00,Possession Of Drug Paraphernalia,700 Block Neches Street,,TERM,APD Do Not Use,3968,Black or African American,Male
TR,2018-10-01,11:46:00,Pedestrian Walking Against Light,East 7th Street And Neches Street,,IN,APD Do Not Use,7857,Black or African American,Female
TR,2018-10-01,11:47:00,Pedestrian Walking Against Light,7th Street And Neches Street,,IN,APD Do Not Use,7240,Black or African American,Male
TR,2018-10-01,11:50:00,Pedestrian Walking Against Light,East 7th Street And Neches Street,,TERM,APD Do Not Use,7857,White,Female
TR,2018-10-01,11:56:00,Pedestrian Walking Against Light,East 7th Street And Neches Street,,IN,APD Do Not Use,7857,White,Male
NT,2018-10-01,12:37:00,Possession Of Drug Paraphernalia,600 Block Neches Street,,ACT,APD Do Not Use,7430,Hispanic or Latino,Male
NT,2018-10-01,12:40:00,Possession Of Drug Paraphernalia,700 Block Neches Street,,ACT,APD Do Not Use,7240,White,Male
NT,2018-10-01,20:38:00,Possession Of Drug Paraphernalia,East 6th Street And,Brazos Street,ACT,APD Do Not Use,7804,White,Male
NT,2018-10-01,20:38:00,Public Intoxication,East 6th Street And,Brazos Street,ACT,APD Do Not Use,7804,White,Male
NT,2018-10-02,1:45:00,Aggressive Solicitation,400 Block East 6th Street,,TERM,APD Do Not Use,7887,White,Male
NT,2018-10-02,2:40:00,Possession Of Drug Paraphernalia,500 Block East 7th Street,,IN,APD Do Not Use,7884,Black or African American,Male
NT,2018-10-02,8:56:00,Possession Of Drug Paraphernalia,500 Block East 7th Street,,TERM,APD Do Not Use,7870,Black or African American,Male
NT,2018-10-02,8:56:00,Manifesting - Drugs,500 Block East 7th Street,,TERM,APD Do Not Use,7870,Black or African American,Male
NT,2018-10-02,12:00:00,Possession Of Drug Paraphernalia,500 Block East 7th Street,,IN,APD Do Not Use,7870,Black or African American,Male
NT,2018-10-02,12:00:00,Manifesting - Drugs,500 Block East 7th Street,,IN,APD Do Not Use,7870,Black or African American,Male
NT,2018-10-02,12:00:00,Manifesting - Drugs,500 Block East 7th Street,,TERM,APD Do Not Use,7857,Black or African American,Male
NT,2018-10-02,12:02:00,Possession Of Drug Paraphernalia,715 East 8th Street,,TERM,APD Do Not Use,7785,Hispanic or Latino,Female
NT,2018-10-02,12:15:00,Human Waste,East 7th Street And Red River Street,,TERM,APD Do Not Use,7785,Hispanic or Latino,Male
NT,2018-10-02,22:25:00,Consuming Alcohol In A Public Street,7th Street And Red River Street,,TERM,APD Do Not Use,5159,Black or African American,Male
NT,2018-10-02,22:44:00,Possession Of Drug Paraphernalia,700 Block Neches Street,,TERM,APD Do Not Use,7611,Black or African American,Male
NT,2018-10-03,3:51:00,Misdemeanor Theft C - Less Than $100,200 Block San Jacinto,,TERM,APD Do Not Use,7946,Black or African American,Male
NT,2018-10-03,8:13:00,Manifesting - Drugs,500 Block East 7th Street,,IN,APD Do Not Use,7625,Black or African American,Male
NT,2018-10-03,13:09:00,Pedestrian In Roadway/City Ordinance,600 Block Neches Street,,TERM,APD Do Not Use,7785,Black or African American,Male
TR,2018-10-03,13:14:00,Pedestrian Crossing Midblock,500 Block East 7th Street,,IN,APD Do Not Use,7430,Black or African American,Male
TR,2018-10-03,13:25:00,Pedestrian Walking Against Light,Neches Street And East 7th Street,,IN,APD Do Not Use,7857,Hispanic or Latino,Male
